City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Wanning,CN,2023-04-29 09:44:08,18.8003,110.3967,82.44,74,20,7.38
1,Saint-Philippe,RE,2023-04-29 09:44:08,-21.3585,55.7679,83.79,68,17,10.16
2,Hermanus,ZA,2023-04-29 09:44:09,-34.4187,19.2345,65.8,68,99,9.4
3,Port Elizabeth,ZA,2023-04-29 09:44:09,-33.918,25.5701,73.09,54,40,21.85
4,Roald,NO,2023-04-29 09:44:09,62.5833,6.1333,41.14,70,75,8.05
5,Upernavik,GL,2023-04-29 09:44:10,72.7868,-56.1549,18.91,69,100,2.77
6,Cape Town,ZA,2023-04-29 09:40:41,-33.9258,18.4232,69.12,75,75,4.0
7,Vaini,TO,2023-04-29 09:44:10,-21.2,-175.2,77.16,94,20,6.91
8,Kulu,TR,2023-04-29 09:44:10,39.0951,33.0799,47.55,53,91,4.45
9,Mahebourg,MU,2023-04-29 09:44:10,-20.4081,57.7,85.24,65,40,5.75
10,Chokurdakh,RU,2023-04-29 09:44:11,70.6333,147.9167,29.52,86,100,5.12
11,Saskylakh,RU,2023-04-29 09:44:11,71.9167,114.0833,30.15,94,100,6.38
12,Jurm,AF,2023-04-29 09:44:11,36.8648,70.8342,71.69,20,1,7.47
13,Bagdarin,RU,2023-04-29 09:44:11,54.4333,113.6,44.98,43,94,4.94
14,Bethel,US,2023-04-29 09:44:11,41.3712,-73.414,48.2,88,100,8.05
15,Santa Ana,US,2023-04-29 09:44:12,33.7456,-117.8678,59.86,88,100,3.44
16,Kapaa,US,2023-04-29 09:44:12,22.0752,-159.319,73.72,91,100,16.11
17,Ribeira Grande,PT,2023-04-29 09:44:12,38.5167,-28.7,63.0,77,75,12.66
18,Chuy,UY,2023-04-29 09:44:12,-33.6971,-53.4616,59.49,95,4,7.94
19,Cayenne,GF,2023-04-29 09:40:57,4.9333,-52.3333,73.44,94,20,2.3
20,Severo-Kurilsk,RU,2023-04-29 09:44:13,50.6789,156.125,33.01,87,100,7.52
21,Auki,SB,2023-04-29 09:44:13,-8.7676,160.7034,79.39,86,98,4.74
22,Sayyan,YE,2023-04-29 09:44:13,15.1718,44.3244,69.08,39,61,4.79
23,Airai,TL,2023-04-29 09:44:13,-8.9266,125.4092,61.39,92,74,2.15
24,Punta Arenas,CL,2023-04-29 09:44:14,-53.15,-70.9167,39.31,93,100,25.32
25,Cidreira,BR,2023-04-29 09:44:14,-30.1811,-50.2056,65.08,79,0,11.74
26,Vagur,FO,2023-04-29 09:44:14,61.4732,-6.8119,36.41,61,89,18.28
27,Carnarvon,AU,2023-04-29 09:44:14,-24.8667,113.6333,78.51,52,100,10.45
28,Albany,US,2023-04-29 09:42:13,42.6001,-73.9662,50.41,75,100,4.0
29,Tuktoyaktuk,CA,2023-04-29 09:44:15,69.4541,-133.0374,0.34,100,70,1.68
30,Mongoumba,CF,2023-04-29 09:44:15,3.6415,18.5936,71.67,95,100,4.21
31,Bereznik,RU,2023-04-29 09:44:15,62.8551,42.7072,39.6,91,100,12.93
32,Mount Gambier,AU,2023-04-29 09:40:13,-37.8333,140.7667,49.68,76,95,4.76
33,Atuona,PF,2023-04-29 09:44:16,-9.8,-139.0333,81.46,72,5,15.59
34,Port Alfred,ZA,2023-04-29 09:44:16,-33.5906,26.891,74.17,50,2,8.01
35,Mar Del Plata,AR,2023-04-29 09:44:16,-38.0023,-57.5575,65.08,87,0,11.5
36,Butaritari,KI,2023-04-29 09:44:16,3.0707,172.7902,82.87,77,97,11.81
37,Jiangyou,CN,2023-04-29 09:44:16,31.7667,104.7167,73.26,27,22,6.6
38,Tiksi,RU,2023-04-29 09:44:17,71.6872,128.8694,29.05,88,85,5.39
39,Alofi,NU,2023-04-29 09:44:17,-19.0595,-169.9187,75.09,100,96,9.22
40,Mariakani,KE,2023-04-29 09:44:17,-3.8633,39.4736,73.49,63,100,12.97
41,Shenzhen,CN,2023-04-29 09:44:17,22.5455,114.0683,80.55,92,97,9.98
42,Hasaki,JP,2023-04-29 09:44:18,35.7333,140.8333,69.22,86,73,24.49
43,Muravlenko,RU,2023-04-29 09:44:18,63.7898,74.523,27.05,88,100,24.47
44,Fairbanks,US,2023-04-29 09:40:00,64.8378,-147.7164,34.21,71,40,3.44
45,Brae,GB,2023-04-29 09:44:18,60.3964,-1.353,40.91,60,91,17.9
46,Tasiilaq,GL,2023-04-29 09:44:18,65.6145,-37.6368,26.76,81,100,3.09
47,Iqaluit,CA,2023-04-29 09:44:19,63.7506,-68.5145,28.13,86,100,8.05
48,Zaria,NG,2023-04-29 09:45:19,11.1113,7.7227,91.08,33,97,10.11
49,Hinton,CA,2023-04-29 09:45:19,53.4001,-117.5857,40.01,91,19,2.39
50,Kondoa,TZ,2023-04-29 09:45:20,-4.9,35.7833,78.62,45,96,8.34
51,Hohhot,CN,2023-04-29 09:45:20,40.8106,111.6522,59.29,25,0,13.42
52,San Jose,US,2023-04-29 09:45:08,37.3394,-121.895,58.28,82,40,24.0
53,Tautira,PF,2023-04-29 09:45:20,-17.7333,-149.15,81.07,80,67,7.76
54,Cumana,VE,2023-04-29 09:45:21,10.4635,-64.1775,78.21,82,37,3.13
55,Bengkulu,ID,2023-04-29 09:45:21,-3.8004,102.2655,81.43,82,85,4.59
56,Phalodi,IN,2023-04-29 09:45:21,27.1333,72.3667,91.29,25,19,13.4
57,Teahupoo,PF,2023-04-29 09:45:22,-17.8333,-149.2667,73.36,79,66,8.52
58,Lavrentiya,RU,2023-04-29 09:45:22,65.5833,-171.0,11.01,90,100,9.66
59,Mataura,NZ,2023-04-29 09:45:22,-46.1927,168.8643,52.48,86,41,2.93
60,Busselton,AU,2023-04-29 09:45:22,-33.65,115.3333,58.87,76,47,6.2
61,Gamba,GA,2023-04-29 09:45:22,-2.65,10.0,84.18,67,76,2.8
62,Meulaboh,ID,2023-04-29 09:45:23,4.1363,96.1285,83.71,73,100,3.71
63,Hilo,US,2023-04-29 09:40:56,19.7297,-155.09,72.63,96,100,5.75
64,Pevek,RU,2023-04-29 09:45:23,69.7008,170.3133,-2.33,100,23,3.36
65,Miri,MY,2023-04-29 09:45:23,4.4148,114.0089,86.14,74,40,5.75
66,New Norfolk,AU,2023-04-29 09:45:23,-42.7826,147.0587,53.1,52,48,4.0
67,Moerai,PF,2023-04-29 09:45:24,-22.4333,-151.3333,74.21,66,42,9.19
68,Qasigiannguit,GL,2023-04-29 09:45:24,68.8193,-51.1922,30.45,76,19,4.97
69,Sola,VU,2023-04-29 09:45:24,-13.8833,167.55,82.26,72,6,7.47
70,Nuuk,GL,2023-04-29 09:45:24,64.1835,-51.7216,32.61,93,0,2.3
71,Bluff,NZ,2023-04-29 09:45:25,-46.6,168.3333,52.81,80,17,10.87
72,Khatanga,RU,2023-04-29 09:45:25,71.9667,102.5,29.57,88,100,13.65
73,Nikolskoye,RU,2023-04-29 09:45:25,59.7035,30.7861,45.79,57,89,12.21
74,Gitega,BI,2023-04-29 09:45:25,-3.5,29.95,69.67,79,91,5.82
75,Charters Towers,AU,2023-04-29 09:45:25,-20.1,146.2667,73.87,55,100,8.52
76,Quelimane,MZ,2023-04-29 09:45:26,-17.8786,36.8883,82.35,61,40,5.01
77,Ballina,AU,2023-04-29 09:45:26,-28.8667,153.5667,66.78,75,98,11.9
78,Henties Bay,NA,2023-04-29 09:45:26,-22.116,14.2845,64.81,71,3,10.63
79,Uray,RU,2023-04-29 09:45:26,60.1247,64.7758,43.36,32,54,10.76
80,Hithadhoo,MV,2023-04-29 09:45:27,-0.6,73.0833,82.76,74,100,8.03
81,Manzanillo,CU,2023-04-29 09:45:27,20.3433,-77.1167,75.11,82,99,2.24
82,Luderitz,NA,2023-04-29 09:45:27,-26.6481,15.1594,73.81,40,0,17.98
83,Beira,MZ,2023-04-29 09:45:27,-19.8436,34.8389,78.89,69,20,3.6
84,Ushuaia,AR,2023-04-29 09:45:27,-54.8,-68.3,37.06,93,75,11.5
85,Nome,US,2023-04-29 09:45:28,64.5011,-165.4064,31.15,100,100,4.61
86,Avarua,CK,2023-04-29 09:45:28,-21.2078,-159.775,73.45,73,20,3.44
87,Simoes,BR,2023-04-29 09:45:28,-7.5989,-40.8178,72.45,87,71,3.67
88,Vila Velha,BR,2023-04-29 09:45:28,-20.3297,-40.2925,71.94,97,75,3.44
89,Nanortalik,GL,2023-04-29 09:45:29,60.1432,-45.2371,31.98,61,0,3.0
90,Hobart,AU,2023-04-29 09:45:29,-42.8794,147.3294,53.46,59,0,9.22
91,Daru,PG,2023-04-29 09:45:29,-9.0763,143.2092,80.17,86,71,9.01
92,Souillac,MU,2023-04-29 09:45:29,-20.5167,57.5167,82.78,65,40,5.75
93,Codrington,AU,2023-04-29 09:45:29,-38.2667,141.9667,51.44,73,84,6.08
94,Thompson,CA,2023-04-29 09:46:30,55.7435,-97.8558,35.76,55,75,4.61
95,Tilichiki,RU,2023-04-29 09:46:30,60.4667,166.1,6.35,93,15,6.2
96,Jamestown,US,2023-04-29 09:46:30,42.097,-79.2353,47.55,90,100,8.05
97,Arraial Do Cabo,BR,2023-04-29 09:46:31,-22.9661,-42.0278,69.66,94,40,4.61
98,High Level,CA,2023-04-29 09:45:03,58.5169,-117.136,41.11,48,0,3.44
99,Rawson,AR,2023-04-29 09:46:31,-43.3002,-65.1023,61.61,52,0,18.45
100,Khasan,RU,2023-04-29 09:46:31,42.4308,130.6434,41.41,97,100,4.41
101,Cap Malheureux,MU,2023-04-29 09:46:31,-19.9842,57.6142,85.46,58,0,8.01
102,Rikitea,PF,2023-04-29 09:46:32,-23.1203,-134.9692,77.2,70,63,7.02
103,Nemuro,JP,2023-04-29 09:46:32,43.3236,145.575,41.31,99,100,6.06
104,Moussoro,TD,2023-04-29 09:46:32,13.6408,16.4901,102.13,19,72,13.33
105,Beringovskiy,RU,2023-04-29 09:46:32,63.05,179.3167,15.71,90,100,20.38
106,Camenca,MD,2023-04-29 09:46:33,48.0319,28.6978,56.68,39,5,10.96
107,Saldanha,ZA,2023-04-29 09:46:33,-33.0117,17.9442,62.65,77,79,11.65
108,Lebu,CL,2023-04-29 09:46:33,-37.6167,-73.65,56.46,88,26,19.13
109,Faanui,PF,2023-04-29 09:46:33,-16.4833,-151.75,81.75,79,67,13.89
110,Homer,US,2023-04-29 09:46:34,59.6425,-151.5483,37.8,72,40,1.01
111,Aklavik,CA,2023-04-29 09:46:34,68.2191,-135.0107,16.03,96,100,3.74
112,Beihai,CN,2023-04-29 09:45:47,21.4833,109.1,71.33,83,95,20.18
113,Saint-Avold,FR,2023-04-29 09:46:35,49.1027,6.7006,54.5,86,100,6.51
114,Te Anau,NZ,2023-04-29 09:46:35,-45.4167,167.7167,51.91,86,51,3.06
115,Ahipara,NZ,2023-04-29 09:46:35,-35.1667,173.1667,60.33,87,100,21.72
116,Benguela,AO,2023-04-29 09:44:57,-12.5763,13.4055,84.31,66,100,4.83
117,Socorro,US,2023-04-29 09:46:36,31.6546,-106.3033,52.81,40,20,8.05
118,Port Hardy,CA,2023-04-29 09:46:36,50.6996,-127.4199,41.18,100,40,2.3
119,San Patricio,US,2023-04-29 09:46:36,28.017,-97.5169,63.84,79,0,20.51
120,Puerto Madero,MX,2023-04-29 09:46:37,14.7208,-92.4215,77.2,100,0,0.0
121,Praia Da Vitoria,PT,2023-04-29 09:46:37,38.7333,-27.0667,62.76,82,20,12.5
122,Lorengau,PG,2023-04-29 09:46:37,-2.0226,147.2712,81.63,79,84,2.42
123,Ancud,CL,2023-04-29 09:46:37,-41.8697,-73.8203,49.55,87,100,8.32
124,Clyde River,CA,2023-04-29 09:46:38,70.4692,-68.5914,17.83,93,100,13.8
125,Eldorado,BR,2023-04-29 09:45:31,-23.7869,-54.2836,58.93,93,0,5.66
126,Castro,BR,2023-04-29 09:46:38,-24.7911,-50.0119,53.28,93,56,4.52
127,Bredasdorp,ZA,2023-04-29 09:46:38,-34.5322,20.0403,64.9,55,100,11.88
128,Ketchikan,US,2023-04-29 09:46:39,55.3422,-131.6461,46.87,87,0,10.36
129,Dubti,ET,2023-04-29 09:46:39,11.7361,41.0853,96.26,31,40,2.51
130,Nova Olinda Do Norte,BR,2023-04-29 09:46:39,-3.8881,-59.0942,72.63,99,80,2.28
131,Neryungri,RU,2023-04-29 09:46:39,56.6709,124.6491,33.87,81,50,2.91
132,Kruisfontein,ZA,2023-04-29 09:46:40,-34.0033,24.7314,70.88,49,61,20.29
133,Pitimbu,BR,2023-04-29 09:46:40,-7.4706,-34.8086,75.79,84,23,4.9
134,Broome,US,2023-04-29 09:46:40,42.2506,-75.833,43.86,94,100,11.5
135,Marathon,US,2023-04-29 09:47:40,44.9,-89.7668,47.73,86,100,10.36
136,Porto Novo,BJ,2023-04-29 09:47:40,6.4965,2.6036,84.36,70,99,5.53
137,General Roca,AR,2023-04-29 09:47:41,-39.0333,-67.5833,61.63,38,0,29.39
138,Teacapan,MX,2023-04-29 09:47:41,22.55,-105.75,64.96,82,16,3.65
139,Saint George,US,2023-04-29 09:45:02,37.1041,-113.5841,62.94,27,0,6.91
140,Roma,US,2023-04-29 09:46:13,43.2128,-75.4557,46.54,81,100,16.11
141,Bismarck,US,2023-04-29 09:47:41,46.8083,-100.7837,40.8,77,20,9.22
142,Palaikastron,GR,2023-04-29 09:47:42,35.2,26.25,61.43,52,93,29.62
143,Booue,GA,2023-04-29 09:47:42,-0.0921,11.9385,75.09,94,100,1.95
144,Kavieng,PG,2023-04-29 09:47:42,-2.5744,150.7967,83.07,77,82,10.07
145,Chadiza,ZM,2023-04-29 09:47:42,-14.0678,32.4392,77.61,42,55,3.6
146,Grindavik,IS,2023-04-29 09:47:43,63.8424,-22.4338,34.27,60,0,12.66
147,Borger,NL,2023-04-29 09:47:43,52.9233,6.7931,58.03,71,55,10.38
148,San Andres,CO,2023-04-29 09:47:43,12.5847,-81.7006,80.62,78,20,4.61
149,Paamiut,GL,2023-04-29 09:47:44,61.994,-49.6678,31.78,52,0,5.91
150,Margate,GB,2023-04-29 09:45:10,51.3813,1.3862,54.7,68,29,3.0
151,Puerto Ayora,EC,2023-04-29 09:47:44,-0.7393,-90.3518,76.55,99,100,0.83
152,Naryan-Mar,RU,2023-04-29 09:47:44,67.6713,53.087,26.24,86,49,7.27
153,Byron Bay,AU,2023-04-29 09:47:44,-28.65,153.6167,66.7,76,99,10.16
154,Kudahuvadhoo,MV,2023-04-29 09:47:45,2.6708,72.8944,83.66,74,87,9.93
155,Avera,US,2023-04-29 09:47:45,33.194,-82.5271,58.51,84,0,4.94
156,Karratha,AU,2023-04-29 09:47:45,-20.7377,116.8463,81.45,46,54,8.81
157,Lagoa,PT,2023-04-29 09:47:45,39.05,-27.9833,59.94,73,95,12.39
158,Dutlwe,BW,2023-04-29 09:47:45,-23.9833,23.9,85.75,27,45,10.76
159,Washougal,US,2023-04-29 09:47:46,45.5826,-122.3534,65.68,64,0,12.66
160,Qaanaaq,GL,2023-04-29 09:47:46,77.484,-69.3632,15.3,80,94,6.29
161,Nynashamn,SE,2023-04-29 09:47:46,58.9034,17.9479,51.17,68,100,17.85
162,College,US,2023-04-29 09:47:46,64.8569,-147.8028,34.2,70,40,3.44
163,Riyadh,SA,2023-04-29 09:45:11,24.6877,46.7219,91.54,17,0,11.88
164,San Rafael,AR,2023-04-29 09:47:47,-34.6177,-68.3301,59.05,57,0,7.31
165,Bantry,IE,2023-04-29 09:47:47,51.6833,-9.45,53.78,91,91,8.86
166,Warrnambool,AU,2023-04-29 09:47:47,-38.3833,142.4833,47.34,65,81,6.96
167,Rocha,UY,2023-04-29 09:47:47,-34.4833,-54.3333,55.51,92,0,8.77
168,Padang,ID,2023-04-29 09:47:48,-0.9492,100.3543,84.25,81,100,1.36
169,Dikson,RU,2023-04-29 09:47:48,73.5069,80.5464,20.95,86,100,14.9
170,Puerto Madryn,AR,2023-04-29 09:47:48,-42.7692,-65.0385,62.76,52,0,22.39
171,Vostok,RU,2023-04-29 09:47:48,46.4856,135.8833,44.08,76,100,6.49
172,East London,ZA,2023-04-29 09:47:48,-33.0153,27.9116,74.34,53,20,12.66
173,Mugur-Aksy,RU,2023-04-29 09:47:49,50.35,90.5,53.73,22,50,4.63
174,Nabire,ID,2023-04-29 09:47:49,-3.3667,135.4833,79.47,88,83,2.28
175,Klaksvik,FO,2023-04-29 09:47:49,62.2266,-6.589,36.52,62,100,24.16
176,Yerbogachen,RU,2023-04-29 09:47:50,61.2767,108.0108,35.2,99,100,10.87
177,Kichera,RU,2023-04-29 09:47:50,55.9375,110.0997,36.55,67,98,4.59
178,Lanas,PH,2023-04-29 09:47:50,12.0495,121.9185,84.9,77,56,8.3
179,Seversk,RU,2023-04-29 09:47:50,56.6006,84.8864,50.86,31,43,13.69
180,Ereymentau,KZ,2023-04-29 09:47:50,51.6199,73.1033,62.38,42,32,14.81
181,Ilulissat,GL,2023-04-29 09:48:51,69.2167,-51.1,30.22,59,19,6.91
182,Corrente,BR,2023-04-29 09:48:51,-3.7367,-43.3394,72.99,97,97,2.48
183,Bambous Virieux,MU,2023-04-29 09:48:51,-20.3428,57.7575,85.21,65,40,5.75
184,Port Hedland,AU,2023-04-29 09:48:52,-20.3167,118.5667,87.85,22,9,11.5
185,Bekhtery,UA,2023-04-29 09:48:52,46.251,32.2927,47.55,85,100,20.4
186,Luau,AO,2023-04-29 09:48:52,-10.7073,22.2247,79.32,43,97,6.02
187,Praya,CV,2023-04-29 09:48:52,14.9215,-23.5087,75.74,64,20,6.91
188,Talnakh,RU,2023-04-29 09:48:52,69.4865,88.3972,29.21,81,6,5.66
189,Grand-Lahou,CI,2023-04-29 09:48:53,5.1367,-5.0242,85.14,69,73,5.08
190,Sur,OM,2023-04-29 09:48:53,22.5667,59.5289,86.7,47,0,10.8
191,Luganville,VU,2023-04-29 09:48:53,-15.5333,167.1667,79.23,82,54,2.17
192,Lewistown,US,2023-04-29 09:48:53,40.5992,-77.5714,48.63,96,100,0.0
193,Broken Hill,AU,2023-04-29 09:48:53,-31.95,141.4333,57.13,38,9,6.8
194,Barrow,US,2023-04-29 09:48:54,71.2906,-156.7887,5.02,85,100,16.11
195,Cairns,AU,2023-04-29 09:48:54,-16.9167,145.7667,76.95,85,40,2.3
196,Cabo San Lucas,MX,2023-04-29 09:48:54,22.8909,-109.9124,70.52,61,84,1.01
197,Imeni Poliny Osipenko,RU,2023-04-29 09:48:54,52.4201,136.4853,38.89,64,28,6.53
198,Kismayo,SO,2023-04-29 09:48:55,-0.3582,42.5454,82.54,74,100,12.08
199,Comodoro Rivadavia,AR,2023-04-29 09:48:55,-45.8667,-67.5,57.06,41,0,16.11
200,Uruzgan,AF,2023-04-29 09:48:55,32.8333,66.0,76.05,24,27,10.04
201,Darnah,LY,2023-04-29 09:48:55,32.767,22.6367,64.18,60,0,16.28
202,Fort Nelson,CA,2023-04-29 09:48:55,58.8053,-122.7002,38.95,51,20,3.44
203,Havelock,US,2023-04-29 09:48:56,34.8791,-76.9013,69.75,88,0,6.91
204,Provideniya,RU,2023-04-29 09:48:56,64.3833,-173.3,17.22,89,95,14.52
205,Kitimat,CA,2023-04-29 09:48:56,54.0524,-128.6534,52.18,50,100,4.23
206,Mount Isa,AU,2023-04-29 09:48:56,-20.7333,139.5,67.77,45,100,13.8
207,Salalah,OM,2023-04-29 09:48:57,17.0151,54.0924,89.69,66,20,16.11
208,Beisfjord,NO,2023-04-29 09:48:57,68.3751,17.5988,38.05,93,100,4.7
209,Narsaq,GL,2023-04-29 09:48:57,60.9167,-46.05,39.42,59,0,6.85
210,Longyearbyen,SJ,2023-04-29 09:48:57,78.2186,15.6401,33.64,69,20,6.91
211,Wakkanai,JP,2023-04-29 09:48:58,45.4094,141.6739,42.78,81,75,6.91
212,Marshalltown,US,2023-04-29 09:48:58,42.0494,-92.908,44.64,88,0,10.36
213,Iracoubo,GF,2023-04-29 09:48:58,5.4802,-53.2011,77.27,90,40,8.43
214,San Jeronimo,PE,2023-04-29 09:48:59,-11.9472,-75.2829,44.44,89,100,0.72
215,Yichun,CN,2023-04-29 09:48:59,47.7,128.9,48.52,38,100,9.44
216,Port Macquarie,AU,2023-04-29 09:45:49,-31.4333,152.9167,65.89,75,72,10.13
217,La Ronge,CA,2023-04-29 09:48:59,55.1001,-105.2842,35.85,80,0,8.05
218,Tual,ID,2023-04-29 09:49:00,-5.6667,132.75,83.17,73,81,11.23
219,Pahrump,US,2023-04-29 09:47:44,36.2083,-115.9839,60.85,17,8,3.85
220,Samarinda,ID,2023-04-29 09:49:00,-0.5,117.15,79.86,88,98,2.8
221,Antofagasta,CL,2023-04-29 09:46:05,-23.65,-70.4,58.28,84,42,5.97
222,Borova,UA,2023-04-29 09:49:00,50.1763,30.1043,57.34,38,12,11.54
223,Ruteng,ID,2023-04-29 09:49:01,-8.6136,120.4721,64.81,94,94,1.68
224,Wanxian,CN,2023-04-29 09:49:01,30.8039,108.3897,73.36,46,18,2.04
225,Sao Filipe,CV,2023-04-29 09:49:01,14.8961,-24.4956,74.89,77,21,7.36
226,Cabra,ES,2023-04-29 09:49:01,37.4725,-4.4421,73.29,43,100,6.08
227,Nizwa,OM,2023-04-29 09:49:01,22.9333,57.5333,93.06,11,0,6.29
228,Flinders,AU,2023-04-29 09:50:02,-34.5833,150.8552,61.18,90,100,4.0
229,Grand Gaube,MU,2023-04-29 09:50:02,-20.0064,57.6608,85.37,58,0,8.01
230,Quesnel,CA,2023-04-29 09:50:02,52.9999,-122.5029,45.1,61,0,3.44
231,Suez,EG,2023-04-29 09:50:03,29.9737,32.5263,74.26,27,0,15.3
232,Acapulco,MX,2023-04-29 09:50:03,16.8634,-99.8901,75.0,77,0,4.12
233,Farafangana,MG,2023-04-29 09:50:03,-22.8167,47.8333,73.38,82,94,5.46
234,Iskateley,RU,2023-04-29 09:50:03,67.6803,53.1512,26.1,86,45,7.07
235,Kodiak,US,2023-04-29 09:50:04,57.79,-152.4072,36.91,81,100,3.44
236,Hofn,IS,2023-04-29 09:50:04,64.2539,-15.2082,32.32,46,0,13.15
237,Yar-Sale,RU,2023-04-29 09:50:04,66.8333,70.8333,27.54,89,100,23.38
238,Shache,CN,2023-04-29 09:50:04,38.4167,77.2406,74.91,14,5,2.89
239,Yumen,CN,2023-04-29 09:50:04,40.2833,97.2,70.34,7,6,6.91
240,Bambanglipuro,ID,2023-04-29 09:50:05,-7.95,110.2833,79.39,86,96,6.69
241,Ewa Beach,US,2023-04-29 09:50:05,21.3156,-158.0072,75.15,84,0,4.61
242,Ponta Do Sol,PT,2023-04-29 09:50:05,32.6667,-17.1,78.71,74,100,5.17
243,Pucara,PE,2023-04-29 09:50:05,-15.9803,-71.4606,38.48,58,6,3.38
244,Jiuquan,CN,2023-04-29 09:50:06,39.7432,98.5174,69.84,6,6,13.8
245,Norman Wells,CA,2023-04-29 09:50:06,65.282,-126.8329,23.04,86,75,2.3
246,Victoria,HK,2023-04-29 09:50:06,22.2855,114.1577,80.65,84,97,13.0
247,Uvalde,US,2023-04-29 09:48:27,29.3669,-99.767,52.79,53,0,8.05
248,Forio,IT,2023-04-29 09:50:07,40.7342,13.8646,68.77,86,36,5.99
249,Hovd,MN,2023-04-29 09:50:07,48.0056,91.6419,64.65,15,10,6.26
250,Dangriga,BZ,2023-04-29 09:50:07,16.9692,-88.2321,78.12,85,100,1.05
251,Wahiawa,US,2023-04-29 09:50:07,21.5028,-158.0236,71.92,88,0,4.61
252,Teya,RU,2023-04-29 09:50:08,60.3778,92.6267,30.96,84,100,12.86
253,Malartic,CA,2023-04-29 09:50:08,48.1335,-78.1328,44.71,85,100,5.41
254,Kandrian,PG,2023-04-29 09:50:08,-6.2167,149.55,79.5,85,100,1.86
255,Trenton,US,2023-04-29 09:50:08,40.217,-74.7429,51.98,94,100,12.66
256,Cabedelo,BR,2023-04-29 09:50:08,-6.9811,-34.8339,75.87,84,71,6.53
257,Pangnirtung,CA,2023-04-29 09:50:09,66.1451,-65.7125,32.67,93,100,1.54
258,Namatanai,PG,2023-04-29 09:50:09,-3.6667,152.4333,81.23,78,100,6.31
259,Pangai,TO,2023-04-29 09:50:09,-19.8,-174.35,80.33,84,5,13.29
260,La Entrada,HN,2023-04-29 09:50:09,15.05,-88.7333,72.9,88,45,4.05
261,Tessalit,ML,2023-04-29 09:50:10,20.1986,1.0114,99.27,5,0,5.44
262,Isangel,VU,2023-04-29 09:50:10,-19.55,169.2667,76.64,72,1,3.38
263,Salekhard,RU,2023-04-29 09:50:10,66.53,66.6019,29.03,78,58,9.89
264,Yining,CN,2023-04-29 09:50:10,29.0361,114.5636,61.25,63,100,2.59
265,Nagato,JP,2023-04-29 09:50:11,34.3833,131.2,63.43,99,100,10.54
266,Hannibal,US,2023-04-29 09:50:11,39.7084,-91.3585,52.75,76,0,8.05
267,Kieta,PG,2023-04-29 09:50:11,-6.2167,155.6333,80.08,78,62,2.48
268,Geraldton,AU,2023-04-29 09:50:11,-28.7667,114.6,70.21,49,4,19.57
269,Tatui,BR,2023-04-29 09:50:11,-23.3556,-47.8569,58.17,94,11,6.08
270,Salym,RU,2023-04-29 09:50:12,60.0625,71.4789,31.5,70,100,11.81
271,Oistins,BB,2023-04-29 09:50:12,13.0667,-59.5333,78.89,89,40,6.91
272,Kourou,GF,2023-04-29 09:50:12,5.1552,-52.6478,73.45,91,38,7.23
273,Shingu,JP,2023-04-29 09:50:12,33.7333,135.9833,63.79,97,100,1.21
274,Boissevain,CA,2023-04-29 09:50:12,49.2306,-100.0559,41.5,91,77,13.22
275,Torbay,CA,2023-04-29 09:50:13,47.6666,-52.7314,35.58,91,100,24.16
276,Chodziez,PL,2023-04-29 09:51:13,52.995,16.9198,54.25,85,97,7.4
277,Hamilton,US,2023-04-29 09:51:13,39.1834,-84.5333,52.57,93,20,4.61
278,Rossland,CA,2023-04-29 09:51:13,49.0831,-117.8022,40.91,67,71,3.71
279,Berlevag,NO,2023-04-29 09:51:14,70.8578,29.0864,35.6,64,13,26.46
280,Teguise,ES,2023-04-29 09:51:14,29.0605,-13.564,71.82,46,20,18.41
281,Chumikan,RU,2023-04-29 09:51:14,54.7183,135.315,28.06,91,73,2.59
282,Magalia,US,2023-04-29 09:51:14,39.8121,-121.5783,64.15,57,71,5.99
283,Anadyr,RU,2023-04-29 09:51:15,64.75,177.4833,9.1,85,0,4.47
